time,minor,major
2025-03-21 16:10:13,3.998,0
2025-03-21 16:10:12,0,0
2025-03-21 16:10:11,2.0034,0
2025-03-21 16:10:10,0,0
2025-03-21 16:10:09,2.0005,0
2025-03-21 16:10:08,0,0
2025-03-21 16:10:07,1.9991,0
2025-03-21 16:10:06,0,0
2025-03-21 16:10:05,1.5005,0
2025-03-21 16:10:04,0,0
2025-03-21 16:10:03,1.9999,0
2025-03-21 16:10:02,0,0
2025-03-21 16:10:01,1.7324,0
2025-03-21 16:10:00,0,0
2025-03-21 16:09:59,1.9105,0
2025-03-21 16:09:58,0,0
2025-03-21 16:09:57,66.4262,0
2025-03-21 16:09:56,112.2236,0
2025-03-21 16:09:55,760.9912,0
2025-03-21 16:09:54,717.6439,0
2025-03-21 16:09:53,584.0128,0
2025-03-21 16:09:52,547.7535,0
2025-03-21 16:09:51,580.5096,0
2025-03-21 16:09:50,494.7551,0
2025-03-21 16:09:49,586.7254,0
2025-03-21 16:09:48,484.3612,0
2025-03-21 16:09:47,523.5038,0
2025-03-21 16:09:46,578.8529,0
2025-03-21 16:09:45,526.6299,0
2025-03-21 16:09:44,585.6556,0
2025-03-21 16:09:43,573.0802,0
2025-03-21 16:09:42,468.0174,0
2025-03-21 16:09:41,580.975,0
2025-03-21 16:09:40,565.9558,0
2025-03-21 16:09:39,571.152,0
2025-03-21 16:09:38,568.0017,0
2025-03-21 16:09:37,563.4242,0
2025-03-21 16:09:36,557.4976,0
2025-03-21 16:09:35,530.9617,0
2025-03-21 16:09:34,539.9681,0
2025-03-21 16:09:33,510.5631,0
2025-03-21 16:09:32,448.9446,0
2025-03-21 16:09:31,449.5492,0
2025-03-21 16:09:30,513.91,0
2025-03-21 16:09:29,345.2323,0
2025-03-21 16:09:28,222.7594,0
2025-03-21 16:09:27,201.9831,0
2025-03-21 16:09:26,139.9609,0
2025-03-21 16:09:25,553.1947,0
2025-03-21 16:09:24,693.1238,0
2025-03-21 16:09:23,570.6461,0
2025-03-21 16:09:22,586.2644,0
2025-03-21 16:09:21,524.7388,0
2025-03-21 16:09:20,573.0836,0
2025-03-21 16:09:19,567.9358,0
2025-03-21 16:09:18,525.8556,0
2025-03-21 16:09:17,532.8697,0
2025-03-21 16:09:16,561.6141,0
2025-03-21 16:09:15,552.9769,0
2025-03-21 16:09:14,536.9443,0
2025-03-21 16:09:13,557.6533,0
