time,uptime
2025-03-21 16:10:16,1268383
2025-03-21 16:10:15,1268382
2025-03-21 16:10:14,1268381
2025-03-21 16:10:13,1268380
2025-03-21 16:10:12,1268379
2025-03-21 16:10:11,1268378
2025-03-21 16:10:10,1268377
2025-03-21 16:10:09,1268376
2025-03-21 16:10:08,1268375
2025-03-21 16:10:07,1268374
2025-03-21 16:10:06,1268373
2025-03-21 16:10:05,1268372
2025-03-21 16:10:04,1268371
2025-03-21 16:10:03,1268370
2025-03-21 16:10:02,1268369
2025-03-21 16:10:01,1268368
2025-03-21 16:10:00,1268367
2025-03-21 16:09:59,1268366
2025-03-21 16:09:58,1268365
2025-03-21 16:09:57,1268364
2025-03-21 16:09:56,1268363
2025-03-21 16:09:55,1268362
2025-03-21 16:09:54,1268361
2025-03-21 16:09:53,1268360
2025-03-21 16:09:52,1268359
2025-03-21 16:09:51,1268358
2025-03-21 16:09:50,1268357
2025-03-21 16:09:49,1268356
2025-03-21 16:09:48,1268355
2025-03-21 16:09:47,1268354
2025-03-21 16:09:46,1268353
2025-03-21 16:09:45,1268352
2025-03-21 16:09:44,1268351
2025-03-21 16:09:43,1268350
2025-03-21 16:09:42,1268349
2025-03-21 16:09:41,1268348
2025-03-21 16:09:40,1268347
2025-03-21 16:09:39,1268346
2025-03-21 16:09:38,1268345
2025-03-21 16:09:37,1268344
2025-03-21 16:09:36,1268343
2025-03-21 16:09:35,1268342
2025-03-21 16:09:34,1268341
2025-03-21 16:09:33,1268340
2025-03-21 16:09:32,1268339
2025-03-21 16:09:31,1268338
2025-03-21 16:09:30,1268337
2025-03-21 16:09:29,1268336
2025-03-21 16:09:28,1268335
2025-03-21 16:09:27,1268334
2025-03-21 16:09:26,1268333
2025-03-21 16:09:25,1268332
2025-03-21 16:09:24,1268331
2025-03-21 16:09:23,1268330
2025-03-21 16:09:22,1268329
2025-03-21 16:09:21,1268328
2025-03-21 16:09:20,1268327
2025-03-21 16:09:19,1268326
2025-03-21 16:09:18,1268325
2025-03-21 16:09:17,1268324
2025-03-21 16:09:16,1268323
