time,files,sockets,pipes,inotifies,event,timer,signal,eventpolls,other
2025-03-20 20:57:06,3,292,292,0,0,0,0,1,0
2025-03-20 20:57:05,3,292,292,0,0,0,0,1,0
2025-03-20 20:57:04,3,292,292,0,0,0,0,1,0
2025-03-20 20:57:03,3,292,292,0,0,0,0,1,0
2025-03-20 20:57:02,3,292,292,0,0,0,0,1,0
2025-03-20 20:57:01,3,292,292,0,0,0,0,1,0
2025-03-20 20:57:00,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:59,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:58,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:57,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:56,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:55,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:54,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:53,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:52,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:51,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:50,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:49,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:48,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:47,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:46,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:45,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:44,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:43,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:42,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:41,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:40,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:39,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:38,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:37,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:36,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:35,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:34,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:33,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:32,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:31,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:30,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:29,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:28,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:27,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:26,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:25,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:24,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:23,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:22,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:21,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:20,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:19,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:18,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:17,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:16,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:15,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:14,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:13,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:12,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:11,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:10,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:09,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:08,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:07,3,292,292,0,0,0,0,1,0
2025-03-20 20:56:06,3,292,292,0,0,0,0,1,0
