time,frames,collisions,carrier
2025-03-20 20:56:57,0,0,0
2025-03-20 20:56:56,0,0,0
2025-03-20 20:56:55,0,0,0
2025-03-20 20:56:54,0,0,0
2025-03-20 20:56:53,0,0,0
2025-03-20 20:56:52,0,0,0
2025-03-20 20:56:51,0,0,0
2025-03-20 20:56:50,0,0,0
2025-03-20 20:56:49,0,0,0
2025-03-20 20:56:48,0,0,0
2025-03-20 20:56:47,0,0,0
2025-03-20 20:56:46,0,0,0
2025-03-20 20:56:45,0,0,0
2025-03-20 20:56:44,0,0,0
2025-03-20 20:56:43,0,0,0
2025-03-20 20:56:42,0,0,0
2025-03-20 20:56:41,0,0,0
2025-03-20 20:56:40,0,0,0
2025-03-20 20:56:39,0,0,0
2025-03-20 20:56:38,0,0,0
2025-03-20 20:56:37,0,0,0
2025-03-20 20:56:36,0,0,0
2025-03-20 20:56:35,0,0,0
2025-03-20 20:56:34,0,0,0
2025-03-20 20:56:33,0,0,0
2025-03-20 20:56:32,0,0,0
2025-03-20 20:56:31,0,0,0
2025-03-20 20:56:30,0,0,0
2025-03-20 20:56:29,0,0,0
2025-03-20 20:56:28,0,0,0
2025-03-20 20:56:27,0,0,0
2025-03-20 20:56:26,0,0,0
2025-03-20 20:56:25,0,0,0
2025-03-20 20:56:24,0,0,0
2025-03-20 20:56:23,0,0,0
2025-03-20 20:56:22,0,0,0
2025-03-20 20:56:21,0,0,0
2025-03-20 20:56:20,0,0,0
2025-03-20 20:56:19,0,0,0
2025-03-20 20:56:18,0,0,0
2025-03-20 20:56:17,0,0,0
2025-03-20 20:56:16,0,0,0
2025-03-20 20:56:15,0,0,0
2025-03-20 20:56:14,0,0,0
2025-03-20 20:56:13,0,0,0
2025-03-20 20:56:12,0,0,0
2025-03-20 20:56:11,0,0,0
2025-03-20 20:56:10,0,0,0
2025-03-20 20:56:09,0,0,0
2025-03-20 20:56:08,0,0,0
2025-03-20 20:56:07,0,0,0
2025-03-20 20:56:06,0,0,0
2025-03-20 20:56:05,0,0,0
2025-03-20 20:56:04,0,0,0
2025-03-20 20:56:03,0,0,0
2025-03-20 20:56:02,0,0,0
2025-03-20 20:56:01,0,0,0
2025-03-20 20:56:00,0,0,0
2025-03-20 20:55:59,0,0,0
2025-03-20 20:55:58,0,0,0
2025-03-20 20:55:57,0,0,0
