nf,stress_test,begin_timestamp,end_timestamp
free5gc-amf,CPU_50_Duration_20,1741305584,1741305604
free5gc-amf,MEMORY_512_Duration_20,1741305604,1741305624
free5gc-amf,CPU_50_MEMORY_512_Duration_20,1741305625,1741305645
free5gc-ausf,CPU_50_Duration_20,1741305655,1741305675
free5gc-ausf,MEMORY_512_Duration_20,1741305676,1741305696
free5gc-ausf,CPU_50_MEMORY_512_Duration_20,1741305696,1741305716
free5gc-nrf,CPU_50_Duration_20,1741305723,1741305743
free5gc-nrf,MEMORY_512_Duration_20,1741305743,1741305763
free5gc-nrf,CPU_50_MEMORY_512_Duration_20,1741305763,1741305784
free5gc-nssf,CPU_50_Duration_20,1741305788,1741305808
free5gc-nssf,MEMORY_512_Duration_20,1741305808,1741305829
free5gc-nssf,CPU_50_MEMORY_512_Duration_20,1741305829,1741305849
free5gc-pcf,CPU_50_Duration_20,1741305857,1741305878
free5gc-pcf,MEMORY_512_Duration_20,1741305878,1741305898
free5gc-pcf,CPU_50_MEMORY_512_Duration_20,1741305898,1741305919
free5gc-smf,CPU_50_Duration_20,1741305923,1741305943
free5gc-smf,MEMORY_512_Duration_20,1741305943,1741305964
free5gc-smf,CPU_50_MEMORY_512_Duration_20,1741305964,1741305984
free5gc-udm,CPU_50_Duration_20,1741305989,1741306009
free5gc-udm,MEMORY_512_Duration_20,1741306010,1741306030
free5gc-udm,CPU_50_MEMORY_512_Duration_20,1741306030,1741306050
free5gc-udr,CPU_50_Duration_20,1741306061,1741306081
free5gc-udr,MEMORY_512_Duration_20,1741306081,1741306101
free5gc-udr,CPU_50_MEMORY_512_Duration_20,1741306102,1741306122
free5gc-upf,CPU_50_Duration_20,1741306131,1741306151
free5gc-upf,MEMORY_512_Duration_20,1741306151,1741306172
free5gc-upf,CPU_50_MEMORY_512_Duration_20,1741306172,1741306192
free5gc-webui,CPU_50_Duration_20,1741306199,1741306220
free5gc-webui,MEMORY_512_Duration_20,1741306220,1741306240
free5gc-webui,CPU_50_MEMORY_512_Duration_20,1741306240,1741306261
ueransim-gnb,CPU_50_Duration_20,1741306262,1741306282
ueransim-gnb,MEMORY_512_Duration_20,1741306282,1741306303
ueransim-gnb,CPU_50_MEMORY_512_Duration_20,1741306303,1741306323
